Component Name;Artifact Name;Description;Version Currently Integrated;Link;License Type;License Link
Kotlin Scripting Jvm;kotlin-scripting-jvm;Kotlin Scripting Jvm;1.9.10;https://kotlinlang.org/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Kotlin Stdlib;kotlin-stdlib;Kotlin Standard Library;2.1.20;https://kotlinlang.org/;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
JSON in Java;json; JSON is a light-weight, language independent, data interchange format. See http://w...;20250107;https://github.com/douglascrockford/JSON-java;PUBLIC DOMAIN;https://github.com/stleary/JSON-java/blob/master/LICENSE
LZ4 and xxHash;lz4-java;Java ports and bindings of the LZ4 compression algorithm and the xxHash hashing algorithm;1.8.0;https://github.com/lz4/lz4-java;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
reactive-streams;reactive-streams;A Protocol for Asynchronous Non-Blocking Data Sequence;1.0.4;http://www.reactive-streams.org/;MIT No Attribution License;https://raw.githubusercontent.com/reactive-streams/reactive-streams-jvm/refs/heads/master/LICENSE
SLF4J API Module;slf4j-api;The slf4j API;2.0.17;http://www.slf4j.org;MIT License;https://opensource.org/licenses/MIT
SLF4J Reload4j Provider;slf4j-reload4j;SLF4J Reload4j Provider;2.0.10;http://reload4j.qos.ch;MIT License;https://opensource.org/licenses/MIT
snappy-java;snappy-java;snappy-java: A fast compression/decompression library;1.1.10.7;https://github.com/xerial/snappy-java;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
SnakeYAML;snakeyaml;YAML 1.1 parser and emitter for Java;2.4;https://bitbucket.org/snakeyaml/snakeyaml;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Annotations;annotations;N/A;2.30.23;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: HTTP Clients :: Apache;apache-client;N/A;2.30.23;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Auth;auth; The AWS SDK for Java - Auth module holds the classes that are used for authentication with ...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: AWS Core;aws-core;The AWS SDK for Java - Core runtime module holds the classes that are used by the individual service...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Core :: Protocols :: AWS Json Protocol;aws-json-protocol;The AWS SDK for Java - module holds the classes for AWS Json protocol ;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Core :: Protocols :: AWS Query Protocol;aws-query-protocol;The AWS SDK for Java - module holds the classes for AWS Query protocol ;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Checksums ;checksums; The AWS SDK for Java - Checksums module contains checksums and related items that are used ...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Checksums SPI ;checksums-spi; The AWS SDK for Java - Checksums SPI module contains checksum interfaces that are used by o...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Endpoints SPI;endpoints-spi;N/A;2.30.23;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: HTTP Auth;http-auth; The AWS SDK for Java - HTTP Auth module contains interfaces and implementations for...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: HTTP Auth AWS;http-auth-aws; The AWS SDK for Java - HTTP Auth AWS module contains interfaces and implementations for HTT...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: HTTP Auth Event Stream;http-auth-aws-eventstream; The AWS SDK for Java - HTTP Auth AWS Event Stream module contains interfaces and implementa...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: HTTP Auth SPI;http-auth-spi; The AWS SDK for Java - HTTP Auth SPI module contains the interfaces for authentication that...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: HTTP Client Interface;http-client-spi;N/A;2.30.23;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Identity SPI;identity-spi; The AWS SDK for Java - Identity SPI module contains the Identity interfaces that are used b...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Core :: Protocols :: Json Utils;json-utils;N/A;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Metrics SPI;metrics-spi; This is the base module for SDK metrics feature. It contains the interfaces used for metrics featur...;2.30.23;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: HTTP Clients :: Netty Non-Blocking I/O;netty-nio-client;N/A;2.30.23;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Profiles;profiles; Profile module allows loading information from AWS configuration and credentials files. ...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Core :: Protocols :: Protocol Core;protocol-core;The AWS SDK for Java - module holds the core protocol classes ;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Regions;regions;N/A;2.30.23;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Retries;retries;N/A;2.30.23;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Retries API;retries-spi;N/A;2.30.23;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: SDK Core;sdk-core;The AWS SDK for Java - SDK Core runtime module holds the classes that are used by the individual ser...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Services :: SSO;sso;The AWS Java SDK for SSO module holds the client classes that are used for communicating wit...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Services :: SSO OIDC;ssooidc;The AWS Java SDK for SSO OIDC module holds the client classes that are used for communicatin...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Services :: AWS STS;sts;The AWS Java SDK for AWS STS module holds the client classes that are used for communicating with AW...;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Third Party :: Jackson-core;third-party-jackson-core;N/A;2.30.23;https://aws.amazon.com/sdkforjava;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Java SDK :: Utilities;utils;N/A;2.30.23;N/A;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
AWS Event Stream;eventstream;The AWS Event Stream decoder library.;1.0.1;https://github.com/awslabs/aws-eventstream-java;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
Amazon MSK Library for AWS Identity and Access Management;aws-msk-iam-auth;The Amazon MSK Library for AWS Identity and Access Management allows JVM based Apache Kafka clients ...;2.3.2;https://docs.aws.amazon.com/msk/latest/developerguide/iam-access-control.html;Apache License, Version 2.0;https://www.apache.org/licenses/LICENSE-2.0.txt
